CODIGO,DESCRIPCION,URL_QR
FIAS.18.01.049,CREDENZA 3 PUERTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.049
FIAS.18.01.050,CREDENZA 3 PUERTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.050
FIAS.18.01.051,CREDENZA 3 PUERTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.051
FIAS.18.01.052,CREDENZA 2 PUERTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.052
FIAS.18.01.053,CREDENZA 2 PUERTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.053
FIAS.18.01.054,MESA REUNIONES MEDIANA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.054
FIAS.18.01.055,MESA REUNIONES GRANDE,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.055
FIAS.18.01.056,SILLA MANILA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.056
FIAS.18.01.057,SILLA MANILA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.057
FIAS.18.01.058,SILLA MANILA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.058
FIAS.18.01.059,SILLA MANILA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.059
FIAS.18.01.060,SILLA MANILA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.060
FIAS.18.01.061,SILLA MANILA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.061
FIAS.18.01.062,SILLA MANILA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.062
FIAS.18.01.063,SILLA MANILA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.063
FIAS.18.01.064,SILLA MANILA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.064
FIAS.18.01.065,SILLA MANILA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.065
FIAS.18.01.066,SILLA MANILA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.066
FIAS.18.01.067,SILLA MANILA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.067
FIAS.18.01.068,ESTACIÓN DE TRABAJO PARA 2 PERSONAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.068
FIAS.18.01.069,ESTACIÓN DE TRABAJO PARA 4 PERSONAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.069
FIAS.18.01.070,ESTACIÓN DE TRABAJO PARA 4 PERSONAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.070
FIAS.18.01.071,MESA DE TRABAJO,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.071
FIAS.18.01.009,MAMPARA DE ALUMINIO,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.009
FIAS.18.01.072,SISTEMA DE ARCHIVACIÓN,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.072
FIAS.18.01.074,SILLA BRIDGE,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.074
FIAS.18.01.075,SILLA HAIR-GIREVOLE,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.075
FIAS.18.01.076,SILLA HAIR-GIREVOLE,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.076
FIAS.18.01.077,SILLA HAIR-GIREVOLE,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.077
FIAS.18.01.078,SILLA HAIR-GIREVOLE,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.078
FIAS.18.01.079,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.079
FIAS.18.01.080,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.080
FIAS.18.01.081,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.081
FIAS.18.01.082,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.082
FIAS.18.01.083,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.083
FIAS.18.01.084,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.084
FIAS.18.01.085,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.085
FIAS.18.01.086,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.086
FIAS.18.01.087,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.087
FIAS.18.01.088,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.088
FIAS.18.01.089,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.089
FIAS.18.01.090,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.090
FIAS.18.01.091,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.091
FIAS.18.01.092,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.092
FIAS.18.01.093,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.093
FIAS.18.01.094,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.094
FIAS.18.01.095,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.095
FIAS.18.01.096,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.096
FIAS.18.01.097,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.097
FIAS.18.01.098,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.098
FIAS.18.01.099,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.099
FIAS.18.01.100,SILLA OPERATIVA 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.100
FIAS.18.01.103,SILLA BUTTERFLY 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.103
FIAS.18.01.105,SILLA BUTTERFLY 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.105
FIAS.18.01.106,SILLA BUTTERFLY 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.106
FIAS.18.01.107,SILLA BUTTERFLY 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.107
FIAS.18.01.108,SILLA BUTTERFLY 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.108
FIAS.18.01.109,SILLA BUTTERFLY 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.109
FIAS.18.01.110,SILLA BUTTERFLY 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.110
FIAS.18.01.111,SILLA BUTTERFLY 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.111
FIAS.18.01.112,SILLA BUTTERFLY 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.112
FIAS.18.01.113,SILLA BUTTERFLY 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.113
FIAS.18.01.115,SILLA BUTTERFLY 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.115
FIAS.18.01.116,SILLA BUTTERFLY 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.116
FIAS.18.01.117,SILLA BUTTERFLY 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.117
FIAS.18.01.119,SILLA BUTTERFLY 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.119
FIAS.18.01.120,SILLA BUTTERFLY 2,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.120
FIAS.18.01.126,BIBLIOTECA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.126
FIAS.18.01.127,CREDENZA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.127
FIAS.18.01.128,BIBLIOTECA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.128
FIAS.18.01.010,AMPLIACIÓN CREDENZAS ALTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.010
FIAS.18.01.013,AMPLIACIÓN CREDENZAS ALTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.013
FIAS.18.01.129,AMPLIACIÓN CREDENZAS ALTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.129
FIAS.18.01.130,AMPLIACIÓN CREDENZAS ALTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.130
FIAS.18.01.131,AMPLIACIÓN CREDENZAS ALTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.131
FIAS.18.01.132,SOFA BIPERSONAL,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.132
FIAS.18.01.012,MESA AUXILIAR,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.012
FIAS.18.01.133,BIBLIOTECA ALTA ADMINISTRACIÓN,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.133
FIAS.18.01.134,BIBLIOTECA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.134
FIAS.18.01.135,CREDENZA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.135
FIAS.19.02.51,REFRIGERADORA,https://fias-activos.github.io/consulta/?codigo=FIAS.19.02.51
FIAS.19.03.032,CAMARA PROFESIONAL,https://fias-activos.github.io/consulta/?codigo=FIAS.19.03.032
FIAS.18.03.028,COMPUTADOR PORTATIL,https://fias-activos.github.io/consulta/?codigo=FIAS.18.03.028
